invoice_number,invoice_date,taxable_value,cgst,sgst,igst,total_tax,total_value,place_of_supply,reverse_charge,seller_gstin,seller_name,buyer_gstin,buyer_name
B2B/2425/0157,2025-03-31,593348.1,0.0,0.0,29667.4,,623015.5,06,,26YWZFS3843P3Z4,,,
B2B/2425/0157,2025-03-31,593348.1,0.0,0.0,29667.4,,623015.5,06,,26YWZFS3843P3Z4,,,
B2B/2425/0122,2025-03-30,144768.93,0.0,0.0,40535.3,,185304.23,34,,01ANHAR2967D4ZW,,,
SI24250425,2025-03-30,4676652.46,0.0,0.0,0.0,,4676652.46,08,,22TVHPP6202IAZZ,,,
CIRC-0-2,2025-03-30,423699.91,0.0,0.0,76265.98,,499965.89,35,,22SAYPV7763CRZW,,,
B2B/2425/0122,2025-03-30,144768.93,0.0,0.0,40535.3,,185304.23,34,,01ANHAR2967D4ZW,,,
SI24250425,2025-03-30,4676652.46,654731.34,654731.34,0.0,,5986115.14,08,,22TVHPP6202IAZZ,,,
CIRC-0-2,2025-03-30,423699.91,0.0,0.0,76265.98,,499965.89,35,,22SAYPV7763CRZW,,,
SI-2425-0046,2025-03-29,3468108.43,0.0,0.0,624259.52,,4092367.95,34,,01MIMHZ2258RGZ6,,,
TAX-2425-00595,2025-03-29,1187667.0,0.0,0.0,213780.06,,1401447.06,21,,33VCYCP9274PXZK,,,
SI-2425-0046,2025-03-29,3468108.43,0.0,0.0,624259.52,,4092367.95,34,,01MIMHZ2258RGZ6,,,
TAX-2425-00595,2025-03-29,1187667.0,0.0,0.0,213780.06,,1401447.06,21,,33VCYCP9274PXZK,,,
B2B2425000464,2025-03-28,4715452.58,0.0,0.0,848781.46,,5564234.04,10,,35NGQBJ4498IXZA,,,
CIRC-1-2,2025-03-28,2490780.34,0.0,0.0,448340.46,,2939120.8,12,,04RCLJF0323YNZH,,,
B2B2425000464,2025-03-28,4715452.58,0.0,0.0,848781.46,,5564234.04,10,,35NGQBJ4498IXZA,,,
CIRC-1-2,2025-03-28,2490780.34,0.0,0.0,448340.46,,2939120.8,12,,04RCLJF0323YNZH,,,
2425-00256,2025-03-27,1043836.6,0.0,0.0,187890.59,,1231727.19,09,,05NZJPJ8685W7ZH,,,
GST/2425/0385,2025-03-27,2050633.72,0.0,0.0,574177.44,,2624811.16,04,,01TLXTG7331WGZ2,,,
TAX/2425/00591,2025-03-27,2482401.59,223416.14,223416.14,0.0,,2929233.87,27,,27BMFJL3720GXZO,,,
2425-00256,2025-03-27,1043836.6,0.0,0.0,187890.59,,1231727.19,09,,05NZJPJ8685W7ZH,,,
GST/2425/0385,2025-03-27,2050633.72,0.0,0.0,574177.44,,2624811.16,04,,01TLXTG7331WGZ2,,,
TAX/2425/00591,2025-03-27,2482401.59,223416.14,223416.14,0.0,,2929233.87,27,,27BMFJL3720GXZO,,,
INV242500362,2025-03-26,162882.53,0.0,0.0,45607.11,,210118.47,16,,03QAHFE7680NZZM,,,
GST-2425-000448,2025-03-26,3662801.65,0.0,0.0,1025584.46,,4688386.11,21,,02TQTFI5946D6ZP,,,
INV242500362,2025-03-26,162882.53,0.0,0.0,45607.11,,210118.47,16,,03QAHFE7680NZZM,,,
GST-2425-000448,2025-03-26,3662801.65,0.0,0.0,1025584.46,,4688386.11,21,,02TQTFI5946D6ZP,,,
TAX24250173,2025-03-25,3671654.44,0.0,0.0,440598.53,,4112252.97,18,,04CJJGW2962SNZ4,,,
TAX/2425/000344,2025-03-25,334903.76,0.0,0.0,60282.68,,395186.44,27,,20LABCR0354BEZN,,,
TAX242500374,2025-03-25,271907.82,0.0,0.0,76134.19,,348042.01,07,,09VCYCP9274P5Z3,,,
B2B24250512,2025-03-25,1920361.46,0.0,0.0,0.0,,1920361.46,07,,10ZICJD5474UMZ1,,,
GST2425584,2025-03-25,4361040.74,0.0,0.0,0.0,,4361040.74,22,,13ZNDJR1569RGZM,,,
TAX24250173,2025-03-25,3671654.44,0.0,0.0,440598.53,,4112252.97,18,,04CJJGW2962SNZ4,,,
TAX/2425/000344,2025-03-25,334903.76,0.0,0.0,60282.68,,395186.44,27,,20LABCR0354BEZN,,,
TAX242500374,2025-03-25,271907.82,0.0,0.0,76134.19,,348042.01,07,,09VCYCP9274P5Z3,,,
B2B24250512,2025-03-25,1920361.46,0.0,0.0,0.0,,1920361.46,07,,10ZICJD5474UMZ1,,,
GST2425584,2025-03-25,4361040.74,0.0,0.0,0.0,,4361040.74,22,,13ZNDJR1569RGZM,,,
TAX2425000100,2025-03-24,487217.72,0.0,0.0,87699.19,,574916.91,09,,34OPAAH0035IGZK,,,
TAX2425000100,2025-03-24,487217.72,0.0,0.0,87699.19,,574916.91,09,,34OPAAH0035IGZK,,,
SI/2425/000103,2025-03-23,4651624.75,0.0,0.0,837292.45,,5488917.2,06,,12BUHHN1557FAZ2,,,
B2B/2425/114,2025-03-23,2262754.4,0.0,0.0,271530.53,,2534284.93,22,,35SHYPB4339MYZD,,,
GST-2425-0439,2025-03-23,2481450.56,0.0,0.0,446661.1,,2928111.66,04,,01ANHAR2967D4ZW,,,
B2B/2425/00524,2025-03-23,3376725.31,0.0,0.0,0.0,,3376725.31,20,,18GDFBX5712POZS,,,
SI/2425/000103,2025-03-23,4651624.75,0.0,0.0,837292.45,,5488917.2,06,,12BUHHN1557FAZ2,,,
B2B/2425/114,2025-03-23,2262754.4,0.0,0.0,271530.53,,2534284.93,22,,35SHYPB4339MYZD,,,
GST-2425-0439,2025-03-23,2481450.56,0.0,0.0,446661.1,,2928111.66,04,,01ANHAR2967D4ZW,,,
B2B/2425/00524,2025-03-23,3376725.31,0.0,0.0,0.0,,3376725.31,20,,18GDFBX5712POZS,,,
B2B-2425-000177,2025-03-22,3971924.23,0.0,0.0,476630.91,,4448555.14,36,,24EGTCU0607B9ZY,,,
B2B-2425-000177,2025-03-22,3971924.23,0.0,0.0,476630.91,,4448555.14,36,,24EGTCU0607B9ZY,,,
B2B/2425/000113,2025-03-21,299198.95,0.0,0.0,14959.95,,314158.9,05,,20KPNGG6321U7ZL,,,
GST-2425-00416,2025-03-21,3351967.28,0.0,0.0,402236.07,,3754203.35,15,,10ZICJD5474UMZ1,,,
B2B/2425/000113,2025-03-21,299198.95,0.0,0.0,14959.95,,314158.9,05,,20KPNGG6321U7ZL,,,
GST-2425-00416,2025-03-21,3351967.28,0.0,0.0,402236.07,,3754203.35,15,,10ZICJD5474UMZ1,,,
2425/456,2025-03-20,4005348.21,0.0,0.0,720962.68,,4726310.89,18,,02TQTFI5946D6ZP,,,
2425/456,2025-03-20,3115114.87,0.0,0.0,720962.68,,3836077.55,18,,02TQTFI5946D6ZP,,,
2425-000096,2025-03-19,4669524.48,0.0,0.0,840514.41,,5510038.89,02,,34OPAAH0035IGZK,,,
2425-000096,2025-03-19,4669524.48,0.0,0.0,840514.41,,5510038.89,02,,34OPAAH0035IGZK,,,
GST-2425-0055,2025-03-18,1714321.46,0.0,0.0,205718.58,,1920040.04,16,,01ANHAR2967D4ZW,,,
GST/2425/0244,2025-03-18,3279687.15,0.0,0.0,393562.46,,3673249.61,27,,20OUNAT3098ZWZV,,,
CIRC-1-0,2025-03-18,1934199.14,0.0,0.0,348155.85,,2282354.99,22,,20LABCR0354BEZN,,,
GST-2425-0055,2025-03-18,1714321.46,0.0,0.0,205718.58,,1920040.04,16,,01ANHAR2967D4ZW,,,
GST/2425/0244,2025-03-18,3279687.15,0.0,0.0,393562.46,,3673249.61,27,,20OUNAT3098ZWZV,,,
CIRC-1-0,2025-03-18,1934199.14,0.0,0.0,348155.85,,2282354.99,22,,20LABCR0354BEZN,,,
INV2425015,2025-03-17,1487871.92,0.0,0.0,267816.95,,1755688.87,16,,24EGTCU0607B9ZY,,,
2425/00138,2025-03-17,657302.06,0.0,0.0,118314.37,,775616.43,12,,06NQQPY4472HPZ3,,,
2425-0350,2025-03-17,933822.36,0.0,0.0,261470.26,,1195292.62,05,,02YKTPZ6224AQZR,,,
CIRC-0-1,2025-03-17,328187.41,0.0,0.0,59073.73,,387261.14,22,,14JXHTN3667Y5ZQ,,,
2425/00138,2025-03-17,657302.06,0.0,0.0,118314.37,,775616.43,12,,06NQQPY4472HPZ3,,,
2425-0350,2025-03-17,933822.36,0.0,0.0,261470.26,,1195292.62,05,,02YKTPZ6224AQZR,,,
CIRC-0-1,2025-03-17,328187.41,0.0,0.0,59073.73,,387261.14,22,,14JXHTN3667Y5ZQ,,,
B2B-2425-000532,2025-03-16,4631187.93,0.0,0.0,1296732.62,,5927920.55,29,,07UECLL4476UDZZ,,,
B2B-2425-000532,2025-03-16,4631187.93,0.0,0.0,1296732.62,,5927920.55,29,,07UECLL4476UDZZ,,,
2425-102,2025-03-14,4592589.61,0.0,0.0,1285925.09,,5878514.7,08,,29PDZAL5606ASZ0,,,
GST-2425-0180,2025-03-14,2758806.81,0.0,0.0,496585.23,,3255392.04,12,,27BMFJL3720GXZO,,,
INV-2425-00182,2025-03-14,4158800.3,0.0,0.0,748584.05,,4907384.35,20,,01ANHAR2967D4ZW,,,
INV24250224,2025-03-14,2702666.33,0.0,0.0,135133.32,,2837799.65,06,,26YKTPZ6224A9ZY,,,
B2B2425242,2025-03-14,1501566.32,0.0,0.0,270281.94,,1771848.26,22,,01ANHAR2967D4ZW,,,
2425-00513,2025-03-14,284013.48,0.0,0.0,14200.67,,298214.15,02,,35DDMPR5986XVZY,,,
2425-102,2025-03-14,4592589.61,0.0,0.0,1285925.09,,5878514.7,08,,29PDZAL5606ASZ0,,,
GST-2425-0180,2025-03-14,2758806.81,0.0,0.0,496585.23,,3255392.04,12,,27BMFJL3720GXZO,,,
INV-2425-00182,2025-03-14,4158800.3,0.0,0.0,748584.05,,4907384.35,20,,01ANHAR2967D4ZW,,,
INV24250224,2025-03-14,2702666.33,0.0,0.0,135133.32,,2837799.65,06,,26YKTPZ6224A9ZY,,,
B2B2425242,2025-03-14,1501566.32,0.0,0.0,270281.94,,1771848.26,22,,01ANHAR2967D4ZW,,,
2425-00513,2025-03-14,284013.48,0.0,0.0,14200.67,,298214.15,02,,35DDMPR5986XVZY,,,
SI/2425/0037,2025-03-13,342989.63,0.0,0.0,41158.76,,384148.39,18,,36FGYBH3187T9ZK,,,
INV/2425/0057,2025-03-13,2130550.04,298277.01,298277.01,0.0,,2748409.56,27,,27ZSUCJ1036MKZT,,,
INV24250066,2025-03-13,4787000.85,0.0,0.0,239350.04,,5026350.89,20,,07FGYBH3187TAZK,,,
B2B-2425-0582,2025-03-13,4179037.47,0.0,0.0,0.0,,4179037.47,06,,23ZNYBI1921NDZD,,,
SI/2425/0037,2025-03-13,342989.63,0.0,0.0,41158.76,,384148.39,18,,36FGYBH3187T9ZK,,,
INV/2425/0057,2025-03-13,2130550.04,298277.01,298277.01,0.0,,2748409.56,27,,27ZSUCJ1036MKZT,,,
INV24250066,2025-03-13,4787000.85,0.0,0.0,239350.04,,5026350.89,20,,07FGYBH3187TAZK,,,
B2B-2425-0582,2025-03-13,4179037.47,0.0,0.0,0.0,,4179037.47,06,,23ZNYBI1921NDZD,,,
TAX/2425/00245,2025-03-12,3834401.92,0.0,0.0,1073632.54,,4946378.48,07,,34UKYPI8225VZZF,,,
TAX/2425/00245,2025-03-12,3834401.92,0.0,0.0,1073632.54,,4946378.48,07,,34UKYPI8225VZZF,,,
SI-2425-0106,2025-03-11,3852715.93,0.0,0.0,192635.8,,4045351.73,21,,22TVHPP6202IAZZ,,,
GST-2425-569,2025-03-11,3025178.26,0.0,0.0,544532.09,,3569710.35,24,,34KBJLI9726XZZJ,,,
SI-2425-0106,2025-03-11,3852715.93,0.0,0.0,192635.8,,4045351.73,21,,22TVHPP6202IAZZ,,,
GST-2425-569,2025-03-11,3025178.26,0.0,0.0,544532.09,,3569710.35,24,,34KBJLI9726XZZJ,,,
SI-2425-000436,2025-03-10,3621261.53,0.0,0.0,651827.08,,4273088.61,01,,29PDZAL5606ASZ0,,,
SI-2425-000436,2025-03-10,3621261.53,0.0,0.0,651827.08,,4273088.61,01,,29PDZAL5606ASZ0,,,
TAX2425345,2025-03-08,1484344.07,0.0,0.0,267181.93,,1751526.0,12,,10NGQBJ4498IOZV,,,
TAX2425345,2025-03-08,1484344.07,0.0,0.0,267181.93,,1751526.0,12,,10NGQBJ4498IOZV,,,
2425-00082,2025-03-07,2364654.9,0.0,0.0,425637.88,,2790292.78,26,,07UECLL4476UDZZ,,,
TAX2425175,2025-03-07,2994802.66,0.0,0.0,149740.13,,3144542.79,21,,07FGYBH3187TAZK,,,
242500313,2025-03-07,2634019.07,0.0,0.0,737525.34,,3371544.41,01,,18GDFBX5712POZS,,,
GST2425321,2025-03-07,3243935.41,0.0,0.0,162196.77,,3406132.18,06,,14JXHTN3667Y5ZQ,,,
2425-00082,2025-03-07,2364654.9,0.0,0.0,425637.88,,2790292.78,26,,07UECLL4476UDZZ,,,
TAX2425175,2025-03-07,2994802.66,0.0,0.0,149740.13,,3144542.79,21,,07FGYBH3187TAZK,,,
242500313,2025-03-07,2634019.07,0.0,0.0,737525.34,,3371544.41,01,,18GDFBX5712POZS,,,
GST2425321,2025-03-07,3243935.41,0.0,0.0,162196.77,,3406132.18,06,,14JXHTN3667Y5ZQ,,,
TAX242500451,2025-03-06,2776924.52,0.0,0.0,499846.41,,3276770.93,05,,01MIMHZ2258RGZ6,,,
TAX242500451,2025-03-06,2776924.52,0.0,0.0,499846.41,,3276770.93,05,,01MIMHZ2258RGZ6,,,
2425-0312,2025-03-05,3657517.71,0.0,0.0,658353.19,,4315870.9,07,,21MHKGQ5458X2ZE,,,
GST-2425-000160,2025-03-04,1699771.39,0.0,0.0,84988.57,,1784759.96,26,,06LHWCW4227D3ZC,,,
SI/2425/00275,2025-03-04,494803.07,0.0,0.0,24740.15,,519543.22,02,,24EGTCU0607B9ZY,,,
TAX-2425-0317,2025-03-04,3918840.19,0.0,0.0,705391.23,,4624231.42,35,,26WJNGF2848X6ZX,,,
GST-2425-000160,2025-03-04,1699771.39,0.0,0.0,84988.57,,1784759.96,26,,06LHWCW4227D3ZC,,,
SI/2425/00275,2025-03-04,494803.07,0.0,0.0,24740.15,,519543.22,02,,24EGTCU0607B9ZY,,,
TAX-2425-0317,2025-03-04,3918840.19,0.0,0.0,705391.23,,4624231.42,35,,26WJNGF2848X6ZX,,,
TAX242500003,2025-03-03,145736.95,0.0,0.0,26232.65,,171969.6,06,,33NZJPJ8685WOZ1,,,
INV-2425-0053,2025-03-03,906498.15,0.0,0.0,163169.67,,1069667.82,34,,07LABCR0354BNZ2,,,
SI-2425-493,2025-03-03,4319526.05,388757.34,388757.34,0.0,,5097040.73,22,,22TVHPP6202IAZZ,,,
TAX242500003,2025-03-03,145736.95,0.0,0.0,26232.65,,171969.6,06,,33NZJPJ8685WOZ1,,,
