mismatch_id,type,severity,description,narrative,evidence_path,resolution_actions,regulatory_ref,gstin,buyer_gstin,seller_gstin,return_period,invoice_value,tax_difference,itc_risk,risk_score,detected_at,status
FRAUD-004-PHANTOM,,CRITICAL,Phantom invoice detected — Continental IN issued invoice with no supporting documents,"CRITICAL: Invoice B2B/2425/542 worth ₹46.85L from Continental IN (06JISJR0069HKZG) has been identified as a phantom invoice. The knowledge graph traversal reveals: (1) No IRN (e-Invoice Reference Number) was generated — mandatory for B2B transactions above ₹5 Cr turnover since Oct 2020 and ₹5L since Aug 2023. (2) No e-Way Bill exists despite the invoice value exceeding ₹50,000 threshold. (3) No bank transaction was found matching this invoice amount (±5%). (4) The supplier's GSTR-1 filing for Oct 2024 was filed 47 days late, raising questions about the genuineness of the filing. The ML model assigns a 91% fraud probability based on the absence of all 3 corroborating documents (IRN + EWB + Bank Txn).",,"['Immediately reverse ITC of ₹8,43,250 claimed against this invoice', 'Issue SCN (Show Cause Notice) under Section 74 CGST Act for extended period', 'Refer to DGGI for investigation of the supplier entity', 'Verify physical existence of supplier at registered address']",,01ANHAR2967D4ZW,01ANHAR2967D4ZW,06JISJR0069HKZG,102024,,,,,2026-02-27T09:15:22,OPEN
FRAUD-005-PHANTOM,,CRITICAL,Invoices claimed from a supplier with suspended GST registration,"Two invoices totalling ₹69.82L claimed by Navin Fluorine from a supplier whose GST registration was suspended effective 15-Sep-2024 (suo moto cancellation proceedings initiated). Despite the suspension, invoices dated 08-Dec-2024 and 19-Dec-2024 appear in the claimant's GSTR-2B. The supplier's GSTR-1 for Dec 2024 shows 47 outward invoices filed in a bulk upload on 31-Dec-2024 — 23 of which were raised AFTER suspension date. No e-Way Bills were generated for any of these invoices. Purchase register analysis shows these invoices were booked under 'Capital Goods' category to claim 100% ITC immediately instead of spreading over 5 years. This is a classic bill trading pattern.",,"['Reverse ITC of ₹12,56,800 immediately under Rule 42/43', 'File DRC-03 for voluntary payment of tax + interest', 'Lodge complaint with jurisdictional officer under Section 122']",,01MIMHZ2258RGZ6,01MIMHZ2258RGZ6,06LHWCW4227D3ZC,122024,,,,,2026-02-27T09:18:05,ESCALATED
FRAUD-009-ITCOVR,,CRITICAL,ITC overclaimed by ₹21.45L — claimed on blocked items under Section 17(5),"Exide Industries claimed ITC of ₹31,20,000 in GSTR-3B for January 2025, but eligible ITC as per GSTR-2B is only ₹9,75,000. Analysis of the purchase register reveals ₹21,45,000 was claimed on items blocked under Section 17(5) of the CGST Act: (a) ₹8,50,000 on motor vehicles (not used for transportation of goods), (b) ₹6,80,000 on food & beverages for employee recreation, (c) ₹4,15,000 on outdoor catering for annual event, (d) ₹2,00,000 on membership of a club. These categories are explicitly blocked from ITC eligibility regardless of business use. The overclaim ratio is 2.2x.",,"['Reverse ₹21,45,000 blocked ITC in next GSTR-3B', 'Pay interest under Section 50(1) at 18% p.a. from date of claim', 'File DRC-03 for voluntary payment to avoid penalty proceedings']",,02BKOLB2495WPZY,02BKOLB2495WPZY,02YKTPZ6224AQZR,012025,,,,,2026-02-27T10:14:09,OPEN
FRAUD-012-MISS1,,CRITICAL,Invoice in GSTR-2B has no corresponding GSTR-1 entry — suspected phantom invoice,"Invoice B2B2425000389 worth ₹57,45,556 appears in KEI Industries's GSTR-2B for January 2025 but has NO corresponding entry in the supplier's GSTR-1. The supplier GSTIN shows 'active' status but has NOT filed GSTR-1 for Jan 2025 at all. Knowledge graph analysis reveals: (1) The supplier has zero GSTR-1 filings for the last 3 months, (2) No TRANSACTS_WITH relationship exists between these two GSTINs prior to Jan 2025, (3) The supplier was registered only 4 months ago with minimal turnover declaration (₹20L). This creates a strong suspicion of either a newly created shell entity or identity theft of an existing GSTIN.",,"['Do NOT claim ITC until GSTR-1 is filed and verified', 'Report to concerned GST officer for supplier verification', 'Request GSTN to flag supplier for mandatory physical verification']",,04CJJGW2962SNZ4,04CJJGW2962SNZ4,06LHWCW4227D3ZC,012025,,,,,2026-02-27T10:25:18,OPEN
FRAUD-001-CIRC,,CRITICAL,Circular trade ring: Kirloskar Brothers → Sun Pharma Labs → Navin Fluorine → Kirloskar Brothers,"CRITICAL ALERT: Classic carousel fraud detected involving a 3-entity circular trading ring. Kirloskar Brothers issued invoices worth ₹93.82L to Sun Pharma Labs, who then billed ₹72.55L to Navin Fluorine, who completed the loop by invoicing ₹56.83L back to Kirloskar Brothers. The value inflation ratio of 1.31x across the cycle indicates artificial value padding to maximise ITC claims. None of the transactions have corresponding bank payments or e-Way Bills, strongly suggesting these are paper transactions designed to generate fraudulent ITC credits. Total ITC at risk: ₹40.18L. This pattern matches known GST carousel fraud typology documented by the DGGI (Directorate General of GST Intelligence).",,"['Freeze ITC for all 3 entities pending investigation', 'Issue SCN under Section 74 CGST Act (fraud/wilful misstatement)', 'Refer to DGGI for coordinated investigation across jurisdictions', 'Provisional attachment of property under Section 83 (₹4,017,689 at risk)']",,01ANHAR2967D4ZW,01MIMHZ2258RGZ6,01ANHAR2967D4ZW,112024,,,,,2026-02-27T08:45:12,OPEN
FRAUD-002-CIRC,,CRITICAL,Circular trade ring: Blue Star Cooling → Exide Industries → SKF India Ltd → Berger Paints → Blue Star Cooling,"HIGH-RISK circular trade identified across 4 entities. Starting from Blue Star Cooling → Exide Industries → SKF India Ltd → Berger Paints → back to Blue Star Cooling. The total circulated value exceeds ₹3.85 Cr with a progressive value inflation of 1.44x per hop. Notably, SKF India Ltd has a compliance rating below 30 and has 3 late-filed returns in the last 6 months. The pattern shows invoices raised within 48 hours of each other — an impossibility for genuine manufacturing/trading operations. The goods described (Steel Structures, HSN 7308) show no corresponding raw material purchases by any participant.",,"['Freeze ITC for all 4 entities pending investigation', 'Issue SCN under Section 74 CGST Act (fraud/wilful misstatement)', 'Refer to DGGI for coordinated investigation across jurisdictions', 'Provisional attachment of property under Section 83 (₹6,931,260 at risk)']",,01TLXTG7331WGZ2,02YKTPZ6224AQZR,01TLXTG7331WGZ2,012025,,,,,2026-02-27T08:45:12,OPEN
FRAUD-003-CIRC,,HIGH,Circular trade ring: Bharat Electronics Ltd → KEI Industries → Pidilite Industries → Mahindra Components → Reliance Trading Corp → Bharat Electronics Ltd,"Complex 5-entity circular trading network uncovered. The chain spans across 3 different states: Bharat Electronics Ltd (State 03) → KEI Industries → Pidilite Industries → Mahindra Components → Reliance Trading Corp → back to Bharat Electronics Ltd. Total value: ₹5.73 Cr. Cross-verification with bank statements reveals no actual fund transfers between 3 of the 5 entities. IGST has been exploited for inter-state transactions to claim refunds. Two entities share the same registered address, indicating possible shell company involvement. ML model confidence: 94.2%.",,"['Freeze ITC for all 5 entities pending investigation', 'Issue SCN under Section 74 CGST Act (fraud/wilful misstatement)', 'Refer to DGGI for coordinated investigation across jurisdictions', 'Provisional attachment of property under Section 83 (₹10,315,800 at risk)']",,03QAHFE7680NZZM,05NZJPJ8685W7ZH,03QAHFE7680NZZM,022025,,,,,2026-02-27T08:45:12,OPEN
FRAUD-006-VALMIS,,HIGH,Taxable value inflated by ₹21.53L in buyer's GSTR-2B vs supplier's GSTR-1,"Significant value mismatch detected on invoice TAX/2425/0516. Supplier Sun Pharma Labs reported taxable value of ₹18,92,300 in GSTR-1, but buyer Blue Star Cooling has recorded ₹40,45,750 in GSTR-2B — a difference of ₹21,53,450 (113.8% inflation). The CGST/SGST claimed by the buyer (₹3,64,117.50 each at 18%) is based on the inflated amount, resulting in excess ITC of ₹3,87,450. Cross-referencing with the bank transaction shows payment of ₹22,32,914 — which aligns with the supplier's value, not the buyer's. This is a textbook ITC inflation scheme where the buyer modifies the invoice value in their books before filing.",,"['Issue demand notice for ₹3,87,450 excess ITC + 18% interest', ""Cross-verify with supplier's books under Section 65 (Audit)"", 'Check if buyer has made similar inflations in other periods']",,01TLXTG7331WGZ2,01TLXTG7331WGZ2,01DEMBO8806RVZQ,082024,,,,,2026-02-27T10:02:33,UNDER_REVIEW
FRAUD-007-VALMIS,,HIGH,Supplier under-reported taxable value by ₹11.98L to reduce output tax liability,"Reverse value mismatch: SKF India Ltd reported only ₹14,23,500 in GSTR-1 for an invoice, while KEI Industries's purchase register and GSTR-2B both show ₹26,21,800 — a shortfall of ₹11,98,300. The supplier appears to have intentionally reduced their output tax liability by ₹2,15,694 (IGST @ 18%). The e-Way Bill generated for this consignment shows a value of ₹26,21,800, corroborating the buyer's figures. The supplier has shown a pattern of under-reporting in 4 out of the last 6 months, with cumulative under-reporting of ₹47.3L.",,"['Issue notice under Section 73 for short payment of output tax', 'Direct supplier to file GSTR-1 amendment for correct values', 'Initiate special audit under Section 66 for extended period review']",,02TQTFI5946D6ZP,04CJJGW2962SNZ4,02TQTFI5946D6ZP,092024,,,,,2026-02-27T10:05:17,OPEN
FRAUD-010-ITCOVR,,HIGH,ITC claimed in GSTR-3B exceeds available credit in GSTR-2B by ₹8.92L,"Reliance Trading Corp claimed IGST ITC of ₹18,42,350 in November 2024 GSTR-3B, but the auto-populated GSTR-2B shows eligible ITC of only ₹9,50,000. The excess of ₹8,92,350 has no supporting documentation in the GSTR-2B. Analysis shows the buyer manually entered additional ITC of ₹8,92,350 under 'All other ITC' section of GSTR-3B Table 4(A)(5), which is meant only for ITC on imports, ISD credits, and transitional credits — none of which apply here. The buyer has a history of claiming excess ITC in 3 of the previous 5 months.",,"['Restrict ITC to GSTR-2B amount under Rule 36(4)', 'Issue notice under Section 74 (fraud/wilful misstatement — extended period)', 'Impose penalty of ₹8,92,350 under Section 122(2)(b)']",,05NZJPJ8685W7ZH,05NZJPJ8685W7ZH,03QAHFE7680NZZM,112024,,,,,2026-02-27T10:18:30,OPEN
