from_type,from_id,relationship,to_type,to_id
Mismatch,B2B/2425/542,INVOLVES,Invoice,B2B/2425/542
Mismatch,B2B/2425/542,INVOLVES,Invoice,B2B/2425/542
Mismatch,TAX/2425/0516,INVOLVES,Invoice,TAX/2425/0516
Mismatch,TAX/2425/0516,INVOLVES,Invoice,TAX/2425/0516
Mismatch,TAX-2425-00433,INVOLVES,Invoice,TAX-2425-00433
Mismatch,TAX-2425-00433,INVOLVES,Invoice,TAX-2425-00433
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,03QAHFE7680NZZM
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,06LHWCW4227D3ZC
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,05NZJPJ8685W7ZH
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,33NZJPJ8685WOZ1
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,15JRSBT6524ILZ6
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,05JRSBT6524IEZE
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,37OSFJM8611XFZ8
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,32DMTBE6740M8Z7
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,35NGQBJ4498IXZA
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,10NGQBJ4498IOZV
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,20OUNAT3098ZWZV
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,13ZNDJR1569RGZM
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,34OPAAH0035IGZK
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,07UECLL4476UDZZ
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,01DEMBO8806RVZQ
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,34KBJLI9726XZZJ
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,16IBMPF0580C3ZS
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,20KPNGG6321U7ZL
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,36FGYBH3187T9ZK
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,07FGYBH3187TAZK
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,18PSFGQ4980NTZ8
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,20LABCR0354BEZN
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,07LABCR0354BNZ2
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,12WKQCH8988A7ZW
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,27BMFJL3720GXZO
Taxpayer,Taxpayer,HAS_GSTIN,GSTIN,23ZNYBI1921NDZD
